Frame,Time,Speed_kmh,Target_Speed,Steer,Throttle,Brake,State,Lane_ID,Front_Dist,L_Free,R_Free
1,0.05,0.06,5.00,0.0000,1.00,0.00,KEEP_LANE,-1,80.00,False,False
2,0.10,0.04,5.00,0.0000,1.00,0.00,KEEP_LANE,-1,80.00,False,False
3,0.15,0.03,5.00,0.0000,1.00,0.00,KEEP_LANE,-1,80.00,False,False
4,0.20,0.02,5.00,0.0000,1.00,0.00,KEEP_LANE,-1,80.00,False,False
5,0.25,0.01,100.00,0.0000,1.00,0.00,KEEP_LANE,-1,80.00,False,False
6,0.30,0.01,100.00,0.0000,1.00,0.00,KEEP_LANE,-1,80.00,False,False
7,0.35,0.00,100.00,0.0000,1.00,0.00,KEEP_LANE,-1,80.00,False,False
8,0.40,0.00,100.00,0.0000,1.00,0.00,KEEP_LANE,-1,80.00,False,False
9,0.45,0.00,100.00,0.0000,1.00,0.00,KEEP_LANE,-1,80.00,False,False
10,0.50,1.37,5.00,0.0000,0.00,0.00,KEEP_LANE,-1,79.99,False,False
11,0.55,4.26,5.00,0.0000,0.84,0.00,KEEP_LANE,-1,79.95,True,False
12,0.60,6.47,5.00,0.0000,0.00,0.00,KEEP_LANE,-1,79.87,True,False
13,0.65,7.86,5.00,0.0000,0.00,0.11,KEEP_LANE,-1,79.77,True,False
14,0.70,8.63,5.27,0.0000,0.00,0.17,KEEP_LANE,-1,79.65,True,False
15,0.75,8.88,5.33,0.0000,0.00,0.19,KEEP_LANE,-1,79.53,True,False
16,0.80,8.92,6.17,0.0000,0.00,0.09,KEEP_LANE,-1,79.42,True,False
17,0.85,8.83,7.20,0.0000,0.00,0.00,KEEP_LANE,-1,79.33,True,False
18,0.90,8.89,7.58,0.0000,0.00,0.00,KEEP_LANE,-1,79.23,True,False
19,0.95,8.81,7.84,0.0000,0.00,0.00,KEEP_LANE,-1,79.15,True,False
20,1.00,8.71,8.47,0.0000,0.00,0.00,KEEP_LANE,-1,79.08,True,False
21,1.05,8.54,8.45,0.0000,0.00,0.00,KEEP_LANE,-1,79.00,True,False
22,1.10,8.41,8.51,0.0000,0.00,0.00,KEEP_LANE,-1,78.94,True,False
23,1.15,8.22,8.98,0.0000,0.54,0.00,KEEP_LANE,-1,78.87,True,False
24,1.20,7.98,9.79,0.0000,1.00,0.00,KEEP_LANE,-1,78.82,True,False
25,1.25,7.90,10.48,0.0000,1.00,0.00,KEEP_LANE,-1,78.78,True,False
26,1.30,8.15,11.55,0.0000,1.00,0.00,KEEP_LANE,-1,78.76,True,False
27,1.35,8.73,12.29,0.0000,1.00,0.00,KEEP_LANE,-1,78.74,True,False
28,1.40,9.69,13.12,0.0000,1.00,0.00,KEEP_LANE,-1,78.72,True,False
29,1.45,10.80,14.20,0.0000,1.00,0.00,KEEP_LANE,-1,78.69,True,False
30,1.50,12.11,15.51,0.0000,1.00,0.00,KEEP_LANE,-1,78.67,True,False
31,1.55,13.38,16.97,0.0000,1.00,0.00,KEEP_LANE,-1,78.65,True,False
32,1.60,14.64,18.37,0.0000,1.00,0.00,KEEP_LANE,-1,78.63,True,False
33,1.65,15.89,19.77,0.0000,1.00,0.00,KEEP_LANE,-1,78.62,True,False
34,1.70,17.12,21.22,0.0000,1.00,0.00,KEEP_LANE,-1,78.60,True,False
35,1.75,18.35,22.64,0.0000,1.00,0.00,KEEP_LANE,-1,78.59,True,False
36,1.80,19.58,23.99,0.0000,1.00,0.00,KEEP_LANE,-1,78.58,True,False
37,1.85,19.97,23.66,0.0000,1.00,0.00,KEEP_LANE,-1,78.57,True,False
38,1.90,20.62,24.52,0.0000,1.00,0.00,KEEP_LANE,-1,78.56,True,False
39,1.95,21.34,24.98,0.0000,1.00,0.00,KEEP_LANE,-1,78.53,True,False
40,2.00,22.42,26.23,0.0000,1.00,0.00,KEEP_LANE,-1,78.52,True,False
41,2.05,23.47,26.99,0.0000,1.00,0.00,KEEP_LANE,-1,78.50,True,False
42,2.10,24.78,28.05,-0.0000,1.00,0.00,KEEP_LANE,-1,78.48,False,False
43,2.15,25.99,28.77,-0.0001,1.00,0.00,KEEP_LANE,-1,78.45,False,False
44,2.20,27.45,29.55,0.0002,1.00,0.00,KEEP_LANE,-1,78.41,False,False
45,2.25,28.71,29.62,0.0001,1.00,0.00,KEEP_LANE,-1,78.36,False,False
46,2.30,30.17,25.88,-0.0001,0.00,0.29,KEEP_LANE,-1,78.26,False,False
47,2.35,31.28,21.90,-0.0000,0.00,0.92,KEEP_LANE,-1,78.09,False,False
48,2.40,31.89,23.15,0.0000,0.00,0.84,KEEP_LANE,-1,77.89,False,False
