Frame,Time,Speed_kmh,Target_Speed,Steer,Throttle,Brake,State,Lane_ID,Front_Dist,L_Free,R_Free,Ego_X,Ego_Y
1,0.05,0.01,95.00,-0.0125,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-515.25,240.96
2,0.10,0.01,95.00,-0.0138,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-515.25,240.96
3,0.15,0.00,95.00,-0.0144,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-515.25,240.96
4,0.20,0.00,95.00,-0.0150,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-515.25,240.96
5,0.25,0.00,95.00,-0.0156,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-515.25,240.96
6,0.30,0.00,95.00,-0.0163,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-515.25,240.96
7,0.35,0.00,95.00,-0.0169,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-515.25,240.96
8,0.40,0.00,95.00,-0.0175,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-515.25,240.96
9,0.45,0.00,95.00,-0.0181,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-515.25,240.96
10,0.50,1.37,95.00,-0.0187,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-515.25,240.96
11,0.55,4.59,95.00,-0.0183,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-515.25,241.01
12,0.60,7.01,95.00,-0.0178,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-515.25,241.10
13,0.65,9.08,95.00,-0.0173,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-515.25,241.21
14,0.70,10.79,95.00,-0.0167,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-515.24,241.35
15,0.75,12.29,95.00,-0.0161,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-515.24,241.51
16,0.80,13.67,95.00,-0.0155,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-515.24,241.70
17,0.85,14.99,95.00,-0.0149,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-515.24,241.90
18,0.90,16.27,95.00,-0.0143,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-515.23,242.12
19,0.95,17.53,95.00,-0.0137,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-515.23,242.35
20,1.00,18.77,95.00,-0.0132,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-515.22,242.61
21,1.05,19.82,95.00,-0.0127,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-515.22,242.88
22,1.10,20.04,95.00,-0.0124,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-515.21,243.15
23,1.15,20.81,95.00,-0.0121,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-515.21,243.44
24,1.20,21.65,95.00,-0.0120,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-515.20,243.73
25,1.25,22.93,95.00,-0.0115,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-515.19,244.04
26,1.30,24.11,95.00,-0.0118,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-515.19,244.37
27,1.35,25.38,95.00,-0.0123,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-515.18,244.72
28,1.40,26.55,95.00,-0.0136,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-515.17,245.08
29,1.45,27.93,95.00,-0.0146,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-515.16,245.46
30,1.50,29.21,95.00,-0.0154,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-515.14,245.86
31,1.55,30.66,95.00,-0.0164,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-515.13,246.28
32,1.60,31.98,95.00,-0.0169,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-515.12,246.71
33,1.65,33.48,95.00,-0.0162,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-515.10,247.17
34,1.70,34.90,95.00,-0.0153,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-515.08,247.65
35,1.75,36.29,95.00,-0.0170,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-515.06,248.14
