Frame,Time,Speed_kmh,Target_Speed,Steer,Throttle,Brake,State,Lane_ID,Front_Dist,L_Free,R_Free,Ego_X,Ego_Y
1,0.05,0.06,95.00,-0.0556,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-515.25,240.96
2,0.10,0.04,95.00,-0.0612,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-515.25,240.96
3,0.15,0.03,95.00,-0.0640,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-515.25,240.96
4,0.20,0.02,95.00,-0.0667,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-515.25,240.96
5,0.25,0.01,95.00,-0.0695,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-515.25,240.96
6,0.30,0.01,95.00,-0.0723,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-515.25,240.96
7,0.35,0.00,95.00,-0.0751,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-515.25,240.96
8,0.40,0.00,95.00,-0.0779,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-515.25,240.96
9,0.45,0.00,95.00,-0.0806,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-515.25,240.96
10,0.50,1.37,95.00,-0.0830,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-515.25,240.96
11,0.55,4.66,95.00,-0.0805,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-515.25,241.01
12,0.60,7.09,95.00,-0.0770,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-515.24,241.10
13,0.65,9.12,95.00,-0.0731,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-515.24,241.21
14,0.70,10.79,95.00,-0.0687,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-515.23,241.35
15,0.75,12.29,95.00,-0.0640,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-515.22,241.51
16,0.80,13.67,95.00,-0.0587,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-515.21,241.70
17,0.85,14.99,95.00,-0.0536,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-515.20,241.90
18,0.90,16.27,95.00,-0.0486,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-515.19,242.12
19,0.95,17.53,95.00,-0.0435,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-515.18,242.35
20,1.00,18.77,95.00,-0.0385,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-515.16,242.60
